YEAR,LAT,LON,Month,Temperature,Date
2000,4.5,35.625,1,29.37,2000-01-01
2000,4.5,36.25,1,30.31,2000-01-01
2000,4.5,36.875,1,29.07,2000-01-01
2000,4.5,37.5,1,26.68,2000-01-01
2000,4.5,38.125,1,22.44,2000-01-01
2000,4.5,38.75,1,22.68,2000-01-01
2000,4.5,39.375,1,24.52,2000-01-01
2000,4.5,40.0,1,23.62,2000-01-01
2000,4.5,40.625,1,24.71,2000-01-01
2000,4.5,41.25,1,24.94,2000-01-01
2000,4.5,41.875,1,28.42,2000-01-01
2000,4.5,42.5,1,28.71,2000-01-01
2000,5.0,33.125,1,30.95,2000-01-01
2000,5.0,33.75,1,30.51,2000-01-01
2000,5.0,34.375,1,30.59,2000-01-01
2000,5.0,35.0,1,30.02,2000-01-01
2000,5.0,35.625,1,29.77,2000-01-01
2000,5.0,36.25,1,29.74,2000-01-01
2000,5.0,36.875,1,28.67,2000-01-01
2000,5.0,37.5,1,25.48,2000-01-01
2000,5.0,38.125,1,21.95,2000-01-01
2000,5.0,38.75,1,22.8,2000-01-01
2000,5.0,39.375,1,24.17,2000-01-01
2000,5.0,40.0,1,23.25,2000-01-01
2000,5.0,40.625,1,23.65,2000-01-01
2000,5.0,41.25,1,25.54,2000-01-01
2000,5.0,41.875,1,27.87,2000-01-01
2000,5.0,42.5,1,27.82,2000-01-01
2000,5.5,33.125,1,31.06,2000-01-01
2000,5.5,33.75,1,31.1,2000-01-01
2000,5.5,34.375,1,30.65,2000-01-01
2000,5.5,35.0,1,28.14,2000-01-01
2000,5.5,35.625,1,30.09,2000-01-01
2000,5.5,36.25,1,29.64,2000-01-01
2000,5.5,36.875,1,28.65,2000-01-01
2000,5.5,37.5,1,24.0,2000-01-01
2000,5.5,38.125,1,20.74,2000-01-01
2000,5.5,38.75,1,21.44,2000-01-01
2000,5.5,39.375,1,21.68,2000-01-01
2000,5.5,40.0,1,21.89,2000-01-01
2000,5.5,40.625,1,23.79,2000-01-01
2000,5.5,41.25,1,26.26,2000-01-01
2000,5.5,41.875,1,27.14,2000-01-01
2000,5.5,42.5,1,26.1,2000-01-01
2000,6.0,33.125,1,31.03,2000-01-01
2000,6.0,33.75,1,31.19,2000-01-01
2000,6.0,34.375,1,29.96,2000-01-01
2000,6.0,35.0,1,26.94,2000-01-01
2000,6.0,35.625,1,26.53,2000-01-01
2000,6.0,36.25,1,28.5,2000-01-01
2000,6.0,36.875,1,25.12,2000-01-01
2000,6.0,37.5,1,22.85,2000-01-01
2000,6.0,38.125,1,20.24,2000-01-01
