Year,Yield,NDVI,SolarRadiation,Temperature,Precipitation,Years_Since_2000,Decade,Crop_Avocados,Crop_Bananas,Crop_Barley,Crop_Cabbages,Crop_Cereals n.e.c.,"Crop_Coffee, green",Crop_Maize (corn),"Crop_Mangoes, guavas and mangosteens",Crop_Oranges,"Crop_Other vegetables, fresh n.e.c.","Crop_Peas, dry","Crop_Peas, green",Crop_Pineapples,Crop_Potatoes,Crop_Rice,"Crop_Seed cotton, unginned",Crop_Sorghum,Crop_Sugar cane,Crop_Sunflower seed,Crop_Tomatoes,Crop_Wheat,Water_Availability,NDVI_Solar_Interaction,Prev_Year_Yield,Prev_Year_NDVI
2022,3052.6,0.5545494382802536,0.2995241672927662,0.26106052935983115,0.5132098317901932,22,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5133873745246638,0.5497997175806533,0.023562405705789324,0.43447441007564525
2023,3118.3,0.0,0.5205397324105085,0.3099687216471132,0.9726149299419493,23,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9495244220511707,0.0,0.02303372115666352,0.13195350827595753
2000,9228.2,0.5567137159609303,0.7962798533797795,0.5987420183952885,0.028135242497016932,0,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0376712706561011,0.6643286810090943,0.060767064256860015,0.253543407593801
2001,5239.8,0.5688841527705475,0.06709468843203226,0.6169979139612991,0.08655303316366347,1,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.09208454984934478,0.5124161407258674,0.07922897591709936,0.1361710215294476
2002,4667.3,0.5611583530386564,0.39153366876883666,1.0,0.043591815568343795,2,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.03902911936280595,0.5776655030990261,0.04293628304733411,0.15988746928641362
2003,14589.5,0.6096823855066509,0.6282964885519391,0.9919175171003829,0.024960855095886192,3,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.022044476458098927,0.6840222835379723,0.0377267838326263,0.14483225569067937
2004,12386.1,0.6053173918561865,0.6459106466619637,0.9572031919082313,0.0,4,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.6833053770583546,0.12801445738402153,0.23939070901382653
2005,7394.9,0.6231381736472046,0.808968725572786,0.85254420910276,0.08445229859883896,5,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.08189138670158069,0.7402375886644958,0.10796448258980813,0.2308846754597207
2006,7083.3,0.7280952569184374,0.37132405952841907,0.3515990110269058,0.5950176466738157,6,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5863580411919207,0.7520490143451615,0.06254674899950316,0.26561191220121394
2007,7049.6,0.7594678714918532,0.6284330912430107,0.2335556321822132,0.4425211835606506,7,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.44715279858868673,0.8470544971029637,0.05971132549679059,0.4701410692943009
2008,7827.6,0.5083888039239217,0.6491587550941453,0.32230398450510833,0.30023763851757845,8,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.3066541441076812,0.5784417276461058,0.05940467025917373,0.5312766707660481
2009,8801.7,0.48683559467531623,0.7442645842345357,0.8801738284068108,0.21213013729666053,9,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.19972927014751807,0.5760236361252784,0.06648412945400808,0.042000592841136
2010,10422.4,0.6429474582274111,0.0,0.4329153919331681,0.479723946611889,10,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4720791094385537,0.5748656990802399,0.07534801274666639,0.0
2011,11264.9,0.5893972501471829,0.6067815647079371,0.632311834662481,0.10736276627345542,11,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.11112650252344725,0.6570428832850985,0.09009567279431167,0.30421413085601934
2012,7670.9,0.5586356182502437,0.8194719547086216,0.35738513948090755,0.34856334425866353,12,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.3511085364640907,0.6716825107628823,0.0977620537347332,0.1998612031693323
2013,5425.5,0.6681989716082715,0.38650972535270256,0.12921701405447195,0.5828663635768623,13,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5878930411168777,0.6913782502461236,0.06505822809689941,0.13991621949986754
2014,6108.2,0.686072345470222,0.48650289521814827,0.19733241381333855,0.5885908337990444,14,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5893425881947358,0.73396123468072,0.04462607170090832,0.35342158390390477
2015,6846.5,0.6222958988961409,1.0,0.5726188467360664,0.4466433559392007,15,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.43345456568650387,0.7832572779957432,0.0508383426421852,0.3882513064577173
2016,4503.1,0.5718602973247049,0.6341628152296828,0.40827176706797985,0.6109978300381127,16,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5982227205318644,0.6441943538717916,0.05755654922772018,0.26397057710017524
2017,5305.4,0.5940098749588434,0.7315833010799224,0.4190956912173611,0.5622353628266901,17,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5512366871455878,0.6905432722422442,0.036232635760914476,0.16568706201590988
2018,5456.3,0.7555816814804626,0.3381068384824957,0.1994160069844355,0.4580293624541212,18,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4638466438612747,0.7735930584366799,0.043533214311063065,0.20884979388957614
2019,5812.6,0.8456581883883705,0.5027358483406594,0.6361488741993959,0.6445705640390489,19,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6164341617805653,0.9101598776632458,0.04490633820887863,0.5237036786195413
2020,6519.7,1.0,0.1998876822317861,0.0,0.9999999999999998,20,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0,0.9999999999999996,0.048148512130626035,0.6992351573683759
2021,4365.2,0.7097923969505775,0.5463652300617028,0.13610607739130032,0.8046946194007683,21,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8011313997350116,0.7736633257027665,0.05458281238341186,1.0
2022,3881.9,0.5545494382802536,0.2995241672927662,0.26106052935983115,0.5132098317901932,22,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5133873745246638,0.5497997175806533,0.03497780616841105,0.43447441007564525
2023,4933.1,0.0,0.5205397324105085,0.3099687216471132,0.9726149299419493,23,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.9495244220511707,0.0,0.030579987879383486,0.13195350827595753
2007,910.9,0.7594678714918532,0.6284330912430107,0.2335556321822132,0.4425211835606506,7,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.44715279858868673,0.8470544971029637,0.004901398752546406,0.2610660393985649
2008,842.5,0.5083888039239217,0.6491587550941453,0.32230398450510833,0.30023763851757845,8,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3066541441076812,0.5784417276461058,0.003545189334585434,0.5312766707660481
2009,1083.1,0.48683559467531623,0.7442645842345357,0.8801738284068108,0.21213013729666053,9,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.19972927014751807,0.5760236361252784,0.002922779297404624,0.042000592841136
2010,943.6,0.6429474582274111,0.0,0.4329153919331681,0.479723946611889,10,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4720791094385537,0.5748656990802399,0.005112133901873963,0.0
2011,1226.5,0.5893972501471829,0.6067815647079371,0.632311834662481,0.10736276627345542,11,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.11112650252344725,0.6570428832850985,0.003842745010255207,0.30421413085601934
2012,1137.9,0.5586356182502437,0.8194719547086216,0.35738513948090755,0.34856334425866353,12,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3511085364640907,0.6716825107628823,0.006417011085086364,0.1998612031693323
2013,745.6,0.6681989716082715,0.38650972535270256,0.12921701405447195,0.5828663635768623,13,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5878930411168777,0.6913782502461236,0.0056107898965743795,0.13991621949986754
2014,1110.9,0.686072345470222,0.48650289521814827,0.19733241381333855,0.5885908337990444,14,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5893425881947358,0.73396123468072,0.0020410317447318096,0.35342158390390477
2015,901.3,0.6222958988961409,1.0,0.5726188467360664,0.4466433559392007,15,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.43345456568650387,0.7832572779957432,0.005365101724003008,0.3882513064577173
2016,1128.2,0.5718602973247049,0.6341628152296828,0.40827176706797985,0.6109978300381127,16,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5982227205318644,0.6441943538717916,0.00345783353989339,0.26397057710017524
2017,1245.3,0.5940098749588434,0.7315833010799224,0.4190956912173611,0.5622353628266901,17,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5512366871455878,0.6905432722422442,0.005522524145687627,0.16568706201590988
2018,1252.4,0.7555816814804626,0.3381068384824957,0.1994160069844355,0.4580293624541212,18,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4638466438612747,0.7735930584366799,0.006588082849691617,0.20884979388957614
2019,1265.9,0.8456581883883705,0.5027358483406594,0.6361488741993959,0.6445705640390489,19,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6164341617805653,0.9101598776632458,0.0066526897395159405,0.5237036786195413
2020,1033.1,1.0,0.1998876822317861,0.0,0.9999999999999998,20,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0.9999999999999996,0.006775533825801628,0.6992351573683759
2021,970.5,0.7097923969505775,0.5463652300617028,0.13610607739130032,0.8046946194007683,21,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.8011313997350116,0.7736633257027665,0.0046571558045195695,1.0
2022,1092.1,0.5545494382802536,0.2995241672927662,0.26106052935983115,0.5132098317901932,22,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5133873745246638,0.5497997175806533,0.004087523226631871,0.43447441007564525
2023,1129.2,0.0,0.5205397324105085,0.3099687216471132,0.9726149299419493,23,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9495244220511707,0.0,0.005194029959397754,0.13195350827595753
2000,97038.3,0.5567137159609303,0.7962798533797795,0.5987420183952885,0.028135242497016932,0,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0376712706561011,0.6643286810090943,0.5484495938865503,0.253543407593801
2001,97090.9,0.5688841527705475,0.06709468843203226,0.6169979139612991,0.08655303316366347,1,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.09208454984934478,0.5124161407258674,0.8782624204470797,0.1361710215294476
2002,93633.7,0.5611583530386564,0.39153366876883666,1.0,0.043591815568343795,2,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.03902911936280595,0.5776655030990261,0.8787410574054965,0.15988746928641362
2003,96000.0,0.6096823855066509,0.6282964885519391,0.9919175171003829,0.024960855095886192,3,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.022044476458098927,0.6840222835379723,0.8472820518420243,0.14483225569067937
2004,106062.1,0.6053173918561865,0.6459106466619637,0.9572031919082313,0.0,4,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.6833053770583546,0.8688143452774183,0.23939070901382653
2005,110416.7,0.6231381736472046,0.808968725572786,0.85254420910276,0.08445229859883896,5,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.08189138670158069,0.7402375886644958,0.9603750475452112,0.2308846754597207
2006,110000.0,0.7280952569184374,0.37132405952841907,0.3515990110269058,0.5950176466738157,6,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5863580411919207,0.7520490143451615,1.0,0.26561191220121394
2007,86414.9,0.7594678714918532,0.6284330912430107,0.2335556321822132,0.4425211835606506,7,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.44715279858868673,0.8470544971029637,0.9962082125366485,0.4701410692943009
2008,29513.0,0.5083888039239217,0.6491587550941453,0.32230398450510833,0.30023763851757845,8,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3066541441076812,0.5784417276461058,0.7815941340583864,0.5312766707660481
2009,32654.0,0.48683559467531623,0.7442645842345357,0.8801738284068108,0.21213013729666053,9,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.19972927014751807,0.5760236361252784,0.26381177010138734,0.042000592841136
2010,38310.0,0.6429474582274111,0.0,0.4329153919331681,0.479723946611889,10,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4720791094385537,0.5748656990802399,0.2923934941771903,0.0
2011,38370.0,0.5893972501471829,0.6067815647079371,0.632311834662481,0.10736276627345542,11,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.11112650252344725,0.6570428832850985,0.3438606165499193,0.30421413085601934
2012,23059.8,0.5586356182502437,0.8194719547086216,0.35738513948090755,0.34856334425866353,12,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3511085364640907,0.6716825107628823,0.3444065902667446,0.1998612031693323
2013,48267.8,0.6681989716082715,0.38650972535270256,0.12921701405447195,0.5828663635768623,13,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5878930411168777,0.6913782502461236,0.20509047694443988,0.13991621949986754
2014,51806.3,0.686072345470222,0.48650289521814827,0.19733241381333855,0.5885908337990444,14,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5893425881947358,0.73396123468072,0.43447223450663086,0.35342158390390477
2015,46902.8,0.6222958988961409,1.0,0.5726188467360664,0.4466433559392007,15,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.43345456568650387,0.7832572779957432,0.4666710344564013,0.3882513064577173
2016,45077.9,0.5718602973247049,0.6341628152296828,0.40827176706797985,0.6109978300381127,16,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5982227205318644,0.6441943538717916,0.42205133244885595,0.26397057710017524
2017,41322.4,0.5940098749588434,0.7315833010799224,0.4190956912173611,0.5622353628266901,17,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5512366871455878,0.6905432722422442,0.4054455418516153,0.16568706201590988
2018,46504.5,0.7555816814804626,0.3381068384824957,0.1994160069844355,0.4580293624541212,18,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4638466438612747,0.7735930584366799,0.3712721369593268,0.20884979388957614
2019,46747.3,0.8456581883883705,0.5027358483406594,0.6361488741993959,0.6445705640390489,19,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.6164341617805653,0.9101598776632458,0.4184269769253308,0.5237036786195413
2020,45577.1,1.0,0.1998876822317861,0.0,0.9999999999999998,20,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,0.9999999999999996,0.4206363505660838,0.6992351573683759
2021,41473.5,0.7097923969505775,0.5463652300617028,0.13610607739130032,0.8046946194007683,21,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8011313997350116,0.7736633257027665,0.4099880431756015,1.0
2022,43902.4,0.5545494382802536,0.2995241672927662,0.26106052935983115,0.5132098317901932,22,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5133873745246638,0.5497997175806533,0.37264708076953174,0.43447441007564525
2023,42895.9,0.0,0.5205397324105085,0.3099687216471132,0.9726149299419493,23,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9495244220511707,0.0,0.3947490067828135,0.13195350827595753
2000,1175.0,0.5567137159609303,0.7962798533797795,0.5987420183952885,0.028135242497016932,0,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0376712706561011,0.6643286810090943,0.013992510150561355,0.253543407593801
2001,1139.4,0.5688841527705475,0.06709468843203226,0.6169979139612991,0.08655303316366347,1,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.09208454984934478,0.5124161407258674,0.005948383644811339,0.1361710215294476
2002,1365.3,0.5611583530386564,0.39153366876883666,1.0,0.043591815568343795,2,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.03902911936280595,0.5776655030990261,0.005624439239495012,0.15988746928641362
2003,1335.7,0.6096823855066509,0.6282964885519391,0.9919175171003829,0.024960855095886192,3,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.022044476458098927,0.6840222835379723,0.0076800302833421605,0.14483225569067937
2004,1357.4,0.6053173918561865,0.6459106466619637,0.9572031919082313,0.0,4,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0.6833053770583546,0.00741068324970836,0.23939070901382653
2005,1368.8,0.6231381736472046,0.808968725572786,0.85254420910276,0.08445229859883896,5,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.08189138670158069,0.7402375886644958,0.007608143743960166,0.2308846754597207
2006,1480.6,0.7280952569184374,0.37132405952841907,0.3515990110269058,0.5950176466738157,6,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5863580411919207,0.7520490143451615,0.007711878750156967,0.26561191220121394
2007,1581.7,0.7594678714918532,0.6284330912430107,0.2335556321822132,0.4425211835606506,7,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.44715279858868673,0.8470544971029637,0.00872920977584139,0.4701410692943009
2008,1734.0,0.5083888039239217,0.6491587550941453,0.32230398450510833,0.30023763851757845,8,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3066541441076812,0.5784417276461058,0.009649175488691975,0.5312766707660481
2009,1835.6,0.48683559467531623,0.7442645842345357,0.8801738284068108,0.21213013729666053,9,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.19972927014751807,0.5760236361252784,0.011035038773233457,0.042000592841136
